N‰ringsv‰rden per 100 gram livsmedel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Livsmedelsnamn;Livsmedelsnummer;Energi (kJ)(kJ);Energi (kJ)(kJ);Protein(g);Fett(g);Kolhydrater(g);Fibrer(g);Salt(g);Aska(g);Vatten(g);Alkohol(g);Monosackarider(g);Disackarider(g);Sackaros(g);Fullkorn totalt(g);Summa m‰ttade fettsyror(g);Fettsyra 4:0-10:0(g);Fettsyra 12:0(g);Fettsyra 14:0(g);Fettsyra 16:0(g);Fettsyra 18:0(g);Fettsyra 20:0(g);Summa enkelom‰ttade fettsyror(g);Fettsyra 16:1(g);Fettsyra 18:1(g);Summa flerom‰ttade fettsyror(g);Summa n-6 fettsyror(g);Fettsyra 18:2(g);Fettsyra 20:4(g);Summa n-3 fettsyror(g);Fettsyra 18:3(g);Summa lÂnga n-3 fettsyror(g);EPA (Fettsyra 20:5)(g);DPA (Fettsyra 22:5)(g);DHA (Fettsyra 22:6)(g);Summa transfettsyror(g);Kolesterol(mg);Vitamin A();Retinol(µg);beta-Karoten(µg);Vitamin D(µg);Vitamin E(mg);Vitamin K(µg);Tiamin(mg);Riboflavin(mg);Vitamin C(mg);Niacin(mg);Niacinekvivalenter();Vitamin B6(mg);Vitamin B12(µg);Fosfor(mg);Folat(µg);Jod(µg);Avfall (skal etc.)(%);J‰rn(mg);Kalcium(mg);Kalium(mg);Magnesium(mg);Natrium(mg);Selen(µg);Zink(mg)
Tonfisk rÂ;1245;577;138;23,3;4,9;0;0;0,1;1,2;70,6;0;0;0;0;0;1,3;0;0;0,1;0,8;0,3;0;1,6;0,2;0,9;1,4;;0,1;0;;0;;0,3;0,1;0,9;0;38;655;655;0;4,5;1;;0,24;0,25;0;8,7;12,9;0,46;9,43;254;2;;40;1,02;8;252;50;39;36,5;0,6
Tonfisk stekt;1334;545;130;26;2,8;0;0;0,7;1,9;69,3;0;0;0;0;0;0,7;0;0;0,1;0,5;0,2;0;0,9;0,1;0,5;0,8;;0;0;;0;;0,2;0,1;0,5;0;21,6;731;731;0;5,02;1,1;;0,24;0,22;0;9,7;14,4;0,41;8,94;284;1;28;45;1,14;10;281;56;268;40,7;0,67
Tonfisksallad u dressing;1367;264;63;7,2;0,4;6,7;1,7;0,4;1,1;83;0;0,4;0,6;0,6;0;0,1;0;0;0;0,1;0;0;0;0;0;0,1;0;0;0;0,1;0;0,1;0;0;0;0;12,9;40;2;463;0,97;0,2;1;0,07;0,07;7;3,6;4,9;0,2;0,58;80;36;9;6;0,76;29;271;19;143;17,9;0,53
Torkad fisk;1267;1395;333;79;1,4;0;0;0,6;4,8;14,8;0;0;0;0;0;0,3;0;0;0;0,2;0,1;0;0,1;0;0,1;0,6;;0;0;;0;;0,1;0;0,4;;180;40;40;0;2,4;0,5;;0,03;0,1;0;9;23,5;0,2;1;450;14;;15;2,5;160;1400;120;240;20;2
Torkade saltade kik‰rter snacks;1579;1575;377;23,3;6,6;47,8;15,5;0,3;2,9;3,9;0;0;2,6;2,6;0;0,7;0;0;0;0,5;0,1;0;2;0;2;2,5;;2,4;0;;0,1;0;0;0;0;0,1;0;2;0;21;0;1,3;19;0,07;0,18;0;1,6;5,5;0,7;0;343;320;2;0;4,4;64;959;116;118;2,3;2,98
Torkade tomater;4938;699;167;9,4;1,5;23,3;11;10,8;17,8;37;0;22,9;0,1;0;0;0,1;0;0;0;0,1;0;0;0,5;0;0,5;0,6;;0,5;0;;0;0;0;0;0;0,1;1;44;0;527;0;7;12;0,05;0,09;0;4,4;5,9;1,39;0;200;31;0;0;4,29;91;2300;110;4300;0;1,24
Torrj‰st;1980;1506;360;37;1,6;48,1;0;0,1;8,3;5;0;0;0;0;0;0,2;0;0;0;0,1;0;0;1,4;0,8;0,6;0;;0;0;;0;;0;0;0;;0;0;0;0;0;0;;2,35;5,4;0;36,5;42,7;2;0;1290;4000;;0;16,1;44;2000;195;52;3,3;13,5
Torsk filÈ kokt;1335;420;100;23,3;0,6;0;0;1;2,2;74,8;0;0;0;0;0;0,1;0;0;0;0,1;0;0;0,1;0;0,1;0,3;0;0;0;0,2;0;0,2;0;0;0,2;0;62,1;3;3;0;2,36;0,9;0;0,06;0,06;0;2,8;7,1;0,17;1,63;279;13;271;44;0,16;17;516;35;393;35;0,77
Torsk panerad stekt;1336;712;170;18,9;7,7;6,1;0,3;1,4;2,4;65,3;0;0,1;0,1;0;1;1;0;0;0;0,6;0,2;0;4;0,1;3,9;2,1;1,2;1,4;0;0,6;0,5;0,2;0;0;0,1;0;74,5;41;40;13;2,17;2,7;9;0,08;0,08;0;2,3;5,8;0,14;1,23;233;18;231;33;0,39;20;405;30;572;27,7;0,76
Torsk rÂ;1246;328;78;18,2;0,5;0;0;0,2;1,1;81;0;0;0;0;0;0,1;0;0;0;0,1;0;0;0,1;0;0;0,2;0;0;0;0,2;0;0,2;0;0;0,2;0;48,4;2;2;0;1,84;0,7;0;0,05;0,05;0;2,2;5,5;0,14;1,41;217;14;180;34;0,12;12;402;27;59;27,3;0,6
Torsk stekt;1337;400;96;22,2;0,6;0;0;0,8;2;76,2;0;0;0;0;0;0,1;0;0;0;0,1;0;0;0,1;0;0;0,3;0;0;0;0,2;0;0,2;0;0;0,2;0;59,1;3;3;0;2,25;0,8;0;0,05;0,05;0;2,6;6,7;0,14;1,46;265;12;251;42;0,15;16;491;33;318;33,3;0,73
TorskfilÈ panerad stekt hemlagad;1301;600;143;17,6;6;4,5;0,3;1,6;2,6;69;0;0,1;0;0;0;1,9;0,1;0,2;0,2;0,9;0,6;0;2,4;0,1;2,2;1,2;;0,6;0;;0,1;;0,1;0;0,2;;88;66;66;0;1,35;1,5;;0,05;0,15;1;2,2;5,4;0,23;0,9;220;17;;0;0,8;16;405;33;620;26;0,5
Torskrom sillrom m.fl. rÂ;1376;502;120;24,5;2,3;0;0;0,3;1,7;71,5;0;0;0;0;0;0,4;0;0;0;0,3;0;0;0,4;0,1;0,3;0,8;;0;0;;0;;0,3;0;0,5;;360;0;0;0;7;10;;0,75;0,76;14;1,4;5,9;0,17;18;500;12;;0;0,6;17;260;25;130;20;2,1
TorsksufflÈ;1236;458;109;16,1;2,9;4,5;0,1;1,1;2,1;74,8;0;0,1;1,9;0;0;1;0;0;0,1;0,6;0,2;0;1;0,1;0,9;0,5;0,3;0,3;0;0,2;0;0,1;0;0;0,1;0;100;53;52;5;1,62;1,5;6;0,08;0,15;0;1,6;4,8;0,12;1,14;223;22;172;25;0,46;67;358;25;422;23,1;0,84
Tortellini m kˆttfyllning;862;658;157;5,6;4,3;22,2;3;0,8;1;63,8;0;0;1,1;0,2;0;1,5;0;0;0,1;0,9;0,5;0;1,8;0,1;1,6;0,7;;0,6;0;;0;0;0;0;0;;46,3;0;0;0;0;0,3;;0,09;0,06;0;1,2;2,2;0,07;0,2;87;16;;0;0,87;172;55;19;327;1,1;0,78
Tortellini ravioli m ostfyllning ospec.;872;776;186;7,2;5,3;25,7;2,6;1;1,3;58;0;0,2;1;0,2;0;3,1;0,2;0,4;0,4;1,5;0,4;0;1,5;0,1;1,4;0,5;;0,4;0;;0;0;0;0;0;;40,8;0;0;0;0;0,5;;0,05;0,09;0;0,7;2,4;0,05;0,22;91;16;;0;0,66;434;66;16;392;1,1;0,89
Tortilla chips;1581;2108;504;6,7;26,5;57,1;5,4;1,6;2,3;2;0;3,6;6;5,4;0;13,9;0,4;1,3;0,8;10,2;1,1;0,1;9,3;0,1;9,1;2,2;;2,2;0;;0,1;;0;0;0;;0;5;0;54;0;0;;0,03;0,14;0;1,2;1,9;0,24;0;235;20;;0;1,3;100;142;76;630;0,5;1,3
Toscabit mazarinmassa mandel choklad;1646;2038;487;6,6;31,4;42,6;4,8;0,4;1,1;13,5;0;1,5;30,1;28,8;0;13,5;1;3,4;1,7;5,1;2;0,1;12,6;0,2;12,2;3,9;;3,4;0;;0,4;0;0;0;0;1,6;74,8;189;185;38;1,16;6,8;19;0,03;0,21;0;0,8;1,9;0,05;0,22;144;23;5;0;1,87;55;221;55;165;4,1;0,92
Toscaglasyr;2219;2227;532;8,8;40;33,9;2,6;0,5;1,9;12,8;0;8,1;19,4;19;0;10;0,7;0,4;0,9;6,2;1,4;0;22,6;0,2;22,4;5,7;0,5;4,9;0;0,1;0,5;0;0;0;0;0,3;20,4;137;47;76;1;9,2;1;0,25;0,18;0;1;2,5;0,14;0,03;214;30;1;25;2,46;100;364;94;180;1,4;1,08
Toscakaka;1671;1698;406;6,9;21,5;45,4;1,5;0,4;1,4;23,1;0;3,3;26,6;25,7;0;6,5;0,5;0,3;0,6;3,9;0,9;0;10,9;0,1;10,7;3,1;0,5;2,5;0;0,1;0,3;0;0;0;0;0,2;47,7;116;56;40;0,84;4,7;4;0,2;0,14;0;1,1;2,4;0,13;0,18;209;24;5;11;1,37;116;199;45;176;3,4;0,77
Tranb‰r;584;192;46;0,4;0,2;8,9;3,3;0;0,2;87;0;3,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;;0,1;0;;0,1;;0;0;0;0;0;2;0;22;0;1,6;;0,05;0,07;10;0,1;0,2;0,06;0;9;2;0;5;0,7;15;80;8;1;0;0,3
Tr‰dgÂrdskrasse;366;156;37;2,6;0,7;4,3;1,6;0;1,8;89;0;0,2;0;0;0;0;0;0;0;0;0;0;0,2;0;0,1;0,2;;0,2;0;;0,1;;0;0;0;0;0;217;0;2600;0;0,7;;0,08;0,26;35;1;1,4;0,25;0;76;30;;29;1,3;81;600;25;14;0;0,2
Tuggummi;1870;1583;378;0,4;0;92,7;0;0,1;4,1;2,8;0;1,5;79,5;78,2;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0,1;0;0;4;0;;0;7,4;1152;41;156;24;0;0,1
Tuggummi sockerfritt;1884;1474;352;0,6;0;86,1;0;0,3;9,8;3,5;0;0;2,4;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0,1;0;0;4;0;;0;10;2355;87;186;102;0;0,1
Tunnbrˆd vitt brˆd mjukt mjˆlk fibrer ca 4% ;217;1174;281;8;3,1;52,4;3,8;1;1,7;30,9;0;4,8;3,6;1,6;0;0,5;0;0;0;0,3;0,2;0;0,9;0;0,9;0,7;;0,6;0;;0,1;0;0;0;0;;0,8;11;11;0;0,1;0,6;;0,33;0,12;0;2,6;3,9;0,24;0,15;142;30;;0;0,83;64;190;38;410;1,1;1,45
Tunnbrˆdrulle korv tunnbrˆd potatismos r‰k- gurksallad;1551;800;191;5,2;11,4;16,5;1,3;1;1,7;64;0;1,6;1,7;1,2;0;2,6;0;0;0,1;1,6;0,8;0;4,9;0,2;4,5;3,1;;2,5;0;;0,5;0;0;0;0;0;24,1;26;15;134;0,06;0,7;;0,11;0,09;5;1,4;2,4;0,16;0,41;82;16;0;1;0,88;42;220;19;382;1,2;0,78
Tunnbrˆdsrulle m pastrami potatis sallad majonn‰s;784;664;159;5,4;7,8;15,6;2,1;1;1,7;67,3;0;3,4;2,2;0,2;0;1,2;0;0;0,1;0,7;0,3;0;4,3;0;4,1;1,9;;1,3;0;;0,5;0;0;0;0;;11;15;13;21;0,1;0,5;16;0,07;0,07;3;1,4;2,4;0,18;0,42;65;17;4;0;0,77;24;238;17;395;2,8;0,73
Tzatziki;2144;303;72;2,2;5,4;4;0;1,1;1,6;86,9;0;1;1,4;0;0;2,9;0,4;0,1;0,4;1,3;0,5;0;1,8;0,1;1,7;0,2;0,1;0,2;0;0;0;0;0;0;0;0,1;12,5;42;35;88;0,03;0,4;15;0,03;0,07;5;0,1;0,6;0,05;0,12;62;12;51;3;0,2;70;176;13;423;1,1;0,33
Ugnspannkaka;735;662;158;6,3;7,8;15,3;0,7;0,5;1,2;68,6;0;0,1;3,3;0;3;1,7;0,1;0;0,1;1;0,3;0;3,7;0,1;3,6;1,7;1;1,2;0;0,4;0,4;0;0;0;0;0,1;66,3;67;65;18;0,72;2,3;10;0,12;0,17;0;0,7;2,1;0,1;0,55;128;23;31;2;0,65;92;158;17;209;5,6;0,7
Ugnspannkaka l‰ttmjˆlk;734;631;151;6,3;7;15,3;0,7;0,5;1,2;69,5;0;0,1;3,4;0;3;1,2;0;0;0;0,7;0,3;0;3,5;0,1;3,4;1,7;1;1,2;0;0,4;0,4;0;0;0;0;0;63,8;76;75;12;0,79;2,3;10;0,12;0,17;0;0,7;2,1;0,1;0,55;129;23;31;2;0,64;94;160;17;208;5,6;0,7
Ugnsstekt ‰pple;1791;1347;322;3,4;22,1;26,6;2,3;0,1;0,7;44,8;0;5,2;18,8;18,7;0;2,1;0;0;0,1;1,4;0,4;0,1;10,1;0,1;9,7;9;1,9;7,1;0;0,8;1,8;0;0;0;0;0,1;0;35;32;40;0,56;4,6;10;0,07;0,07;4;0,4;1;0,1;0;79;16;0;13;0,61;23;174;40;35;0,4;0,6
Wafers fyllda rÂn kex;1612;2249;538;4,1;29,9;62,3;1,7;0,3;0,8;1,2;0;0;32,7;32;0;28,1;3,8;12,6;5;2,9;3,8;0,1;0,3;0;0,3;0,2;;0,2;0;;0;0;0;0;0;0;0;0;7;2;0,1;1,3;2;0,03;0,04;0;0,7;1,4;0,06;0,1;68;14;3;0;1,58;20;177;23;114;1,3;0,48
Wallenbergare kalvf‰rs stekt;1114;1070;256;16,5;17,9;7,4;0,4;1,5;2,5;54,7;0;0,2;1,2;0;1;9,2;0,7;0,3;1,2;4,7;2;0;5,9;0,4;5,2;1;0,4;0,7;0,1;0,1;0,1;0;0;0;0;0,3;175;182;176;77;0,61;2,2;11;0,08;0,16;0;4,4;7,5;0,26;1,15;218;27;71;26;1,59;55;292;23;581;10,5;3,56
Valnˆtter;1576;2800;669;14,3;62;13;5,2;0;1,9;3,6;0;0,9;2,5;2,5;0;5,6;0;0;0,2;4,2;1,1;0;14,2;0,2;13,3;39,1;;31,8;0;;6,8;;0;0;0;0;0;6;0;72;0;2,6;;0,38;0,15;3;1;3,4;0,56;0;315;66;1;55;2,1;94;500;144;10;2;3
Vaniljpudding;1770;539;129;4,9;3,3;19,6;0;0,2;0,7;71,3;0;0,1;19,7;16,9;0;1,2;0,1;0;0,1;0,8;0,3;0;1,2;0,1;1,1;0,4;0,3;0,3;0;0;0;0;0;0;0;0;83,5;64;63;7;0,53;1,3;7;0,05;0,16;0;0;1,2;0,04;0,58;103;21;18;3;0,41;83;125;9;94;6,2;0,56
VaniljsÂs;1771;1326;317;3,3;29,5;10,4;0;0,1;0,7;55,8;0;0;8,9;5,7;0;18,3;2;0,9;2,9;9;2,9;0,1;7,6;0,6;6,7;0,9;0,2;0,6;0;0;0,2;0;0;0;0;0,9;136,4;297;280;206;0,35;1,7;13;0,05;0,13;0;0;0,8;0,04;0,58;102;18;13;0;0,22;94;120;9;32;4,7;0,53
VaniljsÂs m havre 11% fett Oatly;1776;676;162;0,9;11;14,5;0,9;0,2;0,2;72,5;0;0;12,2;9,7;0;3,6;0;0;0,1;2,7;0,5;0;5,4;0;5;2;;1,5;0,1;;0,4;;0,5;0;0;;0;39;0;470;0;0,1;;0,05;0;0;0,1;0,2;0;0;17;1;;0;0;6;34;3;66;1;0,1
VaniljsÂs mellanmjˆlk matlagnings- o vispgr‰dde hemlagad;1763;804;192;3,8;14,6;11,8;0;0,1;0,7;69,2;0;0;10,2;6,6;0;8,9;1,1;0,5;1,4;4;1,5;0;4;0,2;3,5;0,8;;0,4;0;;0,1;;0;0;0;0,2;114,6;50;48;19;0,28;1,2;;0,04;0,18;0;0,1;1;0,05;0,41;101;29;;0;0,41;61;120;13;47;5,7;0,73
VaniljsÂs pulver tillagad m mjˆlk;1777;445;106;3,1;3,2;16,1;0;0,2;0,7;76,9;0;0;11,9;7,3;0;2;0,3;0,2;0,3;0,8;0,4;0;0,9;0;0,8;0,1;;0,1;0;;0;;0;0;0;0,1;16;31;29;19;0;0,1;;0,04;0,57;0;0,1;0,8;0,05;0,3;83;16;;0;0,07;88;150;13;63;1,8;0,47
Varm choklad mjˆlk fett 0,5%;158;283;68;3,8;0,8;10,8;0,5;0,1;0,9;83,2;0;0;10,8;6,1;0;0,5;0;0;0;0,2;0,2;0;0,2;0;0,2;0;;0;0;;0;0;0;0;0;0;3,2;5;4;4;0,44;0;0;0,05;0,13;0;0,1;1;0,04;0,51;111;11;12;0;0,18;122;211;18;39;1,6;0,52
Varm choklad mjˆlk fett 1,5%;157;318;76;3,8;1,8;10,8;0,5;0,1;0,9;82,3;0;0;10,8;6,1;0;1,1;0,1;0;0,2;0,5;0,2;0;0,5;0;0,4;0;;0;0;;0;0;0;0;0;0;5,9;13;12;11;0,44;0;0;0,05;0,13;0;0,1;1;0,04;0,51;110;10;12;0;0,18;120;209;18;39;1,6;0,52
Varm choklad mjˆlk fett 3%;156;369;88;3,7;3,2;10,7;0,5;0,1;0,9;81;0;0;10,7;6;0;2;0,2;0,1;0,3;1;0,4;0;0,8;0,1;0,7;0,1;0;0,1;0;0;0;0;0;0;0;0,1;10;27;25;22;0,01;0,1;1;0,05;0,13;0;0,1;1;0,04;0,51;108;10;11;0;0,18;118;207;18;38;1,6;0,52
Varmkorv fett 15% ;1507;949;227;8;16,1;12,8;0;1,8;2,4;60,7;0;0;0;0;0;6,3;0;0;0,3;3,7;2,2;0;7,3;0,5;6,6;1,7;;1,4;0,1;;0,1;0;0;0;0;;65;7;6;13;0,1;0,2;;0,14;0,06;0;1,6;3,1;0,09;0,36;125;4;;0;2,1;76;215;13;700;2;1,7
Varmkorv fett 23% grillad kokt;1501;1165;278;12,5;22,2;7,7;0;2,1;2,7;54,9;0;0;0;0;0;8,2;0;0;0,4;5;2,6;0,1;10,7;0,9;9,5;2,3;;1,7;0,1;;0,2;;0;0;0,1;;65;10;9;13;0,2;0,3;;0,12;0,17;0;2,3;4,6;0,13;1,3;125;3;;0;2,1;76;215;13;850;2;1,7
Varmkorv fett 7% MÂ gott;2236;710;170;12;9,9;7,6;1,5;1,5;3,2;65,8;0;0,7;0,4;0;0;3,6;0;0;0,2;2,2;1,2;0;4,8;0,3;4,3;0,9;0,7;0,7;0;0,1;0,1;;0;0;0;0,1;28,2;0;0;1;0;0,2;1;0,4;0,12;6;2,7;4,9;0,17;0,26;91;0;1;;0,91;10;162;12;600;5,5;1,5
Varmkorv fett ca 22% ;1500;1146;274;12,1;21,5;8,5;0;2,1;2,9;55;0;0;0;0;0;7,9;0;0;0,4;4,9;2,5;0,1;10,4;0,8;9,2;2,2;;1,7;0,1;;0,1;;0;0;0,1;;65;11;10;13;0,2;0,3;;0,16;0,22;0;3,1;5,3;0,15;1,1;125;4;2;0;2,1;76;215;13;850;2;1,7
Varmkorv fett ca 23% grillad;1502;1223;292;13,2;23;8,7;0;2,1;3,1;52;0;0;0;0;0;8,4;0;0;0,4;5,2;2,7;0,1;11,1;0,9;9,9;2,4;;1,8;0,1;;0,2;;0;0;0,1;;65;10;9;13;0,2;0,3;;0,16;0,22;0;3,1;5,5;0,13;1,3;125;3;;0;2,1;76;215;13;850;2;1,7
Varmkorv kokt;1534;1205;288;12,7;22,6;8,9;0;2,2;3,1;52,7;0;0;0;0;0;8,3;0;0;0,4;5,1;2,6;0,1;10,9;0,9;9,7;2,3;;1,8;0,1;;0,1;;0;0;0,1;;68,4;12;11;14;0,21;0,3;;0,12;0,16;0;3,3;5,6;0,08;0,75;132;3;2;0;2,21;80;217;14;894;2,1;1,79
Varmkorv konserv kylkonserv fett ca 19%;1520;934;223;11,8;18,9;2;0;1,9;2,3;65;0;0;0;0;0;6,9;0;0;0,3;4,3;2,2;0,1;9,2;0,7;8,1;1,9;;1,5;0,1;;0,1;;0;0;0,1;;65;10;9;13;0,2;0,3;;0,2;0,1;0;1,5;3,7;0,13;1,1;129;3;;0;1,2;11;190;13;770;2;1,7
Varmkorv stekt;1535;1205;288;12,7;22,6;8,9;0;2,2;3,1;52,7;0;0;0;0;0;8,3;0;0;0,4;5,1;2,6;0,1;10,9;0,9;9,7;2,3;;1,8;0,1;;0,1;;0;0;0,1;;68,4;12;11;14;0,21;0,3;;0,12;0,19;0;3,3;5,6;0,13;0,93;132;3;2;0;2,21;80;226;14;894;2,1;1,79
Vassle;152;103;25;0,8;0,1;5,1;0;0,1;0,6;93,4;0;0;5,1;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;1;1;1;0;0;0;0;0,04;0,14;0;0,1;0,3;0,04;0,18;78;2;;0;0,08;103;143;10;48;1,8;0,43
Vattenkrasse;367;108;26;2,9;0,1;1,8;3;0,1;1,2;91;0;0,3;0,3;0,3;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;233;0;2800;0;1;;0,09;0,12;43;0,2;0,7;0,13;0;60;30;;8;0,2;120;330;21;41;0,5;0,2
Vattenmelon;549;143;34;0,6;0;7,5;0,6;0;0,3;91;0;6,3;2,4;2,4;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;19;0;230;0;0,1;;0,08;0,02;10;0,2;0,3;0,14;0;9;2;;48;0,2;8;116;11;2;0;0,1
Vaxbˆnor;368;136;33;1,8;0,1;4,7;2,7;0;0,7;90;0;1;0,4;0,4;0;0;0;0;0;0;0;0;0;0;0;0,1;;0;0;;0;;0;0;0;0;0;5;0;55;0;0,5;;0,08;0,13;21;0,6;0,9;0,1;0;38;36;0;6;1,1;45;210;25;6;0,5;0,2
Vaxbˆnor frysta;369;121;29;1,8;0,1;3,8;2,7;0;0,5;91,1;0;1;0,4;0,4;0;0;0;0;0;0;0;0;0;0;0;0,1;;0;0;;0;;0;0;0;0;0;5;0;60;0;0,3;;0,08;0,09;12;0,5;0,8;0,08;0;32;36;;0;0,8;36;180;22;1;0,5;0,3
Vaxbˆnor konserv u lag;411;99;24;1,4;0,3;2,5;2,7;0,6;0,9;92,2;0;0,9;0,4;0,4;0;0,1;0;0;0;0,1;0;0;0;0;0;0,2;;0,1;0;;0,1;;0;0;0;0;0;5;0;60;0;0,2;;0,03;0,05;5;0,3;0,5;0,04;0;25;14;;0;1,5;45;95;14;236;0,5;0,3
Vegebitar, grytbitar av veteprotein;2069;972;232;27,4;9,1;9,9;0;1,9;2,6;50,9;0;0,5;1,2;0,1;0;1,4;0,2;0;0;0,7;0,3;0;2,2;0;2,1;5,2;;5;0;;0,2;0;0;0;0;0;0;0;0;2;0;3,9;4;0,86;0,19;0;1,6;6,1;0,12;0;101;20;4;;8;28;147;15;772;11,6;1,13
Vegetarisk f‰rs sojaprotein fryst;2068;705;168;17,7;6,8;5,5;7,4;0,7;2,9;59,7;0;0;0;0,1;0;0,7;0;0;0;0,4;0,2;0;1,4;0;1,4;3,3;;3,3;0;;0,1;0;0;0;0;0;0;0;0;0;0;3,2;2;0,51;0,27;0;1,8;4,7;0,35;0;291;138;2;;3,56;103;244;125;271;6,6;1,94
Vetebrˆd osˆtat;1601;1198;286;7,6;7,8;44,6;2,8;0,4;1;36,2;0;0;1,9;0;0;4;0,3;0,2;0,5;2;0,7;0,1;2,5;0,2;1,8;0,9;;0,7;0;;0,1;;0;0;0;;20;57;57;0;0,46;1,1;;0,2;0,16;0;2,4;3,7;0,2;0,2;114;36;;0;0,8;62;192;20;178;1;0,6
Vetediet berik;1936;1623;388;19;8,5;53,5;9,5;0,1;1,5;8;0;0,1;3,5;0,2;0;1;0;0;0;0,8;0,2;0;2,2;0;2,2;4,8;;4,7;0;;0,1;;0;0;0;;0;400;400;0;1;4,5;;0,6;0,75;28;3,7;6,9;0,7;1,8;350;180;;0;7;400;380;100;28;3;2,3
Vetegroddar;708;1461;349;27,5;9,4;31,4;14;0;4,4;13,3;0;1,2;15,2;15,2;0;1,6;0;0;0;1,6;0,1;0;1,4;0;1,3;5,7;;5,1;0;;0,6;;0;0;0;0;0;5;0;62;0;11;;1,72;1;0;3,8;8,4;1,82;0;1000;330;0;0;8;41;1060;290;2;3;17,8
Vetegroddsolja;41;3700;884;0;100;0;0;0;0;0;0;0;0;0;0;16,6;0;0;0;15,1;1,3;0,2;19,3;0;18;59,7;;54,2;0;;5,5;;0;0;0;0;0;0;0;0;0;149;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;3,8
Vetekli;709;1228;294;16,6;5;30,4;30,5;0;5,5;12;0;0,7;2,4;2,4;0;0,8;0;0;0;0,8;0,1;0;0,8;0;0,8;2,6;;2,4;0;;0,2;;0;0;0;0;0;1;0;6;0;1,6;;0,66;0,32;0;23;25,8;1,35;0;1100;260;2;0;11;76;1340;480;3;2;7,3
Vetekross veteflingor fullkorn Ângprep;707;1375;329;10,2;2;61;11,3;0;1,5;14;0;0;0,5;0,5;100;0,2;0;0;0;0,2;0;0;0,3;0;0,3;0,9;;0,8;0;;0,1;;0;0;0;0;0;0;0;0;0;1,4;;0,4;0,12;0;4;5,7;0,2;0;360;40;2;0;5;35;380;110;3;3,4;2,8
Vetemjˆl;1941;1473;352;8,5;1,9;72,4;3,6;0;0,5;13,2;0;0,1;1,5;0,3;0;0,3;0;0;0;0,2;0;0;0,2;0;0,1;0,8;;0,8;0;;0,1;0;0;0;0;0;0;1;0;8;0;0,4;1;0,18;0,03;2;0,9;2,3;0,11;0;111;23;2;0;0,7;21;166;21;1;10,1;0,56
Vetemjˆl bagerivetemjˆl;1938;1457;348;10,6;1,6;70,2;3,1;0;0,5;14;0;0,1;1,4;0,2;0;0,2;0;0;0;0,2;0;0;0,1;0;0,1;0,7;;0,6;0;;0;0;0;0;0;0;0;1;0;11;0;0,5;1;0,2;0,03;0;1,2;3;0,13;0;125;24;1;0;1,08;18;149;27;1;3,4;0,82
Vetemjˆl bagerivetemjˆl berik;1937;1451;347;10,4;1,4;70,5;3,1;0;0,5;14,1;0;0,1;1,3;0,2;0;0,2;0;0;0;0,2;0;0;0,1;0;0,1;0,6;;0,6;0;;0;0;0;0;0;0;0;2;0;16;0;0,5;1;0,62;0,15;0;4,6;6,3;0,68;0;115;22;1;0;0,74;18;155;23;1;6,1;0,73
Vetemjˆl berik;1939;1494;357;10,2;1,6;73,1;2,6;0;0,5;12,1;0;0,1;1,4;0,2;0;0,2;0;0;0;0,2;0;0;0,1;0;0,1;0,7;;0,7;0;;0;0;0;0;0;0;0;0;0;0;0;0,4;1;0,47;0,12;1;4;5,6;0,33;0;117;23;2;0;1,19;18;124;25;1;2,5;0,8
Vetemjˆlsv‰lling;698;261;62;2,8;3,1;5,7;0,1;0,5;1;87,3;0;0;4,4;0,8;0;1,5;0,2;0,1;0,2;0,7;0,2;0;1;0;0,9;0,4;0,2;0,3;0;0,1;0,1;0;0;0;0;0,1;7,7;28;26;22;0,11;0,3;1;0,05;0,1;0;0,1;0,8;0,03;0,39;79;8;27;0;0,04;91;123;9;179;1,3;0,34
Veteskorpor;1603;1752;419;10,3;9,2;70,7;4,2;0,7;1,2;4,3;0;7,2;2,7;0,1;0;1,3;0;0;0;0,6;0,5;0,1;5,6;0;5,4;1,8;;1,6;0;;0,3;0;0;0;0;1;2;29;28;5;0,21;1,8;38;0,18;0,17;0;3,7;5,4;0,3;0,18;118;48;3;0;1,33;27;204;29;284;4,5;0,98
Veteskorpor osˆtade;1597;1991;476;9,9;18,2;66,2;3;0,9;1,6;1,1;0;0,3;2,8;0,1;0;6,7;0,4;0,8;0,7;2,8;1,9;0,1;7,5;0,3;6,8;2,9;;2,4;0;;0,5;;0;0;0;;15;187;186;6;1,46;1,9;;0,35;0,25;0;3,8;5,4;0,35;0,2;228;15;;0;1;148;222;26;350;1;1,1
